condition_id,category,prob,final_outcome
polymarket_0xa669c9a130fae2f43643b091dc9ff6fe5bc3f9bdf03c19cad76fa70a680bce2a,sports,0.5,1
polymarket_0x2772c40733727d9b5d575b5e47335feea46ceca3099f3734be84d2f53833de89,other,0.003,0
polymarket_0x6669e7cda4b55ac014d5a9b3415ef724a818b4bcd6b2863f949df356ade34c22,other,0.9305,0
polymarket_0x6258af9bdbee94ad55c72fb5daf931c8de7890b6405616e55b23f6eae56a70a6,sports,0.515,0
polymarket_0xd278ea27c70cef8249f39fc7de0d7493b2ae07af76445eac8880fa5be29fdb70,other,0.315,0
polymarket_0xd3a2cde44416b16221822b4ba015bbdfcb33025fa0f88447daaf6389c52cb094,other,0.0355,0
polymarket_0xffc6723c94c812b6ab6dd392d3806a53d22ce367ec449d6154b0e5af624aaf40,sports,0.51,1
polymarket_0x3da1c465831df40c1b3f237959f4717dc6a71ef102c98ea59a987ab270c3bd63,crypto,0.008,0
polymarket_0x6143fdf36e885b7a7123760038e7ad830fbd1e0bbdb151c8d19cd193c4a54c01,other,0.15,0
polymarket_0x02e20aee58fe0d20ebfeea4f5e34a02aa468891d8d32034dda659f495c6728b5,sports,0.455,0
polymarket_0xca787e0ed10a37ff734488b5e938077c74835a3e910bbf9f3136229ee71948bf,sports,0.5,0
polymarket_0x861be82256fe9c39d1713dadf3e2ac4e1ff05eb4ee663ef434694150a7341099,other,0.0035,0
polymarket_0xd7ec2eaf2d1fe568fd35ff29f33b9bdf96f3c4aa53db4bb34aa0c58d508c2092,other,0.585,0
polymarket_0x29fd772af6b75554e35522a552082fa022d065b797ae786b07c0fd4bcfd82fd9,sports,0.5,0
polymarket_0x1706a6ac88198730e70be0b1744b6418c4f7723afffc7d7413e0f273656e6c51,sports,0.5,0
polymarket_0x7efbf06c3e0782c92f40747567a2977d0ef1e797b7091ecf9dc07367771253e4,other,0.12,0
polymarket_0xa1f0c06aa01e60b9d23f074907b8ff366f3658b0e28a3f3761b611526add8452,other,0.034,0
polymarket_0xba5fb817c4b3473eff4b588dc36a834e54e110c44d25b6863af1579dfff575f3,other,0.0005,0
polymarket_0xcaa45def702778a64bf1dfb60b6c573fafb017184162c35b9f347b34a5a831f4,other,0.195,0
polymarket_0x0b13002faac8bb7f5e814234c7844d570cf82ef8f7b8cb30eb4a7b346c52cd08,other,0.9995,1
polymarket_0x5c9215513166093014d32433122bbb4c8c6d5e9e3c32d33e55b8a4b6c249d74c,other,0.0155,0
polymarket_0x69f5ca0e154f6440433050fb53fcd113d38c09c13236e97c30ef704a045c8884,sports,0.26,0
polymarket_0x6339a1028e2dff6d552e4c4be141adc22c5e2e87d13d25c25502a397f99ff763,sports,0.205,0
polymarket_0x9b76a85e9d161f6bc1d1cc8e2ab83c1c0643f8d24d544d65df3f771d51137dd4,other,0.5,1
polymarket_0x7a47f52f2d55e2719975acc6e3e80f571ffb16f0c4cb0676fbc241830f908c29,other,0.0005,0
polymarket_0x9c2381bc14549097df4fba29ea1ead9514c36db21a3d72cd0b6b1e3e2d5a9c4c,other,0.155,0
polymarket_0x01d94840e54809ee6253d1b661445c714dbac75e11f0cd508b055c5d48a44f68,other,0.0015,0
polymarket_0x34f6682aa2e9b0940d35fc373a666c57a7ecd4beadc53430271f2dc025d72c7b,sports,0.5,1
polymarket_0xa752e5b239bba0b79774ac2a5f77d08b5d2b50911990a5c71539e51229a48a74,other,0.9995,1
polymarket_0x5eb712298a5f9808ad04286cae74eece84f1fa9fd0a51970317eeb37b244b823,other,0.0175,0
polymarket_0x03f0dcbba050bccc5e82d622e20f6d0621231466ef6650186ccd36e880cd3931,other,0.0025,0
polymarket_0x6af30ea5d787997c95a9c4bacb44a8a573e003c4ccd54ffae38969371229a8e1,other,0.265,0
polymarket_0x9e12e47d9fd387013cb22da909b673f16510255d39d461ceedd26d2b850c15b7,other,0.0035,0
polymarket_0x0b856c6744f5b2eb5ce4373c3911e813943ef7df27b7349b5335d9a7b4aabf0a,sports,0.5,0
polymarket_0x9ea2654c21f67fd09171b66f2ce8667142c0adda7b42623d1b54b67d652f460c,other,0.49,0
polymarket_0x4dfade0c7c40b0df02ae4cb4e4192ae1bc40746ffc76c875d151e311a1939326,sports,0.5,0
polymarket_0xdec05a35352aed8970f09a76e9f32a71c5aa4b311b63330c849bb5c745e867f9,sports,0.525,1
polymarket_0xd11af3000ac76dbe8eeb5d0d53f5f1aa4bb8d47ee467ddc7d9fddfaf43e387d0,sports,0.135,0
polymarket_0x783af20b5c09c6045b434103939e7e883d9b2f559cf28bae52afd50b1325af67,sports,0.5,1
polymarket_0xcd6b6ecbe3105b32f8875abdeb686d81fd8df6868ef3c3d9a94e2ff3242bf64c,other,0.16,0
polymarket_0xb6fd27f5f8fb1a02f4ed1824ed9b0db2b5102d577a9ec4881de024b4c0ab1d71,other,0.655,1
