drift/copy backtest over 117 sharp wallets — haircut=0.03 min_usd=$1,000

copyable = entry price + haircut < 0.99 (can't buy a favorite above $1); midband = entry in [0.15,0.85] (real uncertainty, not 0.99-padding/lottery-dust)

wallet          bets reslvd  mid-n   rawAll  copyAll  copyMid
     VERDICT: ❌ copy edge does not clear 0 — null at this haircut

POOLED — GENUINE-UNCERTAINTY band [0.15,0.85] (the only place copy info can matter):
  [midband]  n=2884
     raw whale edge/share (no haircut):  +0.0180
     COPY edge/share (haircut 0.03):   -0.0120   95% CI [-0.0292, +0.0051]
     control (random side @ same probs):  -0.0405
     VERDICT: ❌ copy edge does not clear 0 — null at this haircut

Reading: if the edge lives ONLY in all-copyable but dies in midband, it's residual
favorite-padding (uncopyable / gap-fragile), not information. The midband line is the real test.
